CustomerID,CompanyName,LastName,FirstName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
GHJG,La corne d'abondance,Garibay Huamani,José Gabriel,Sales Representative,67 avenue de l'Europe,Versailles,,78000,France,30.59.84.10,30.59.85.11
GQRS,La maison d'Asie,Garibay Quispe,Renato Sebastián,Sales Manager,1 rue Alsace-Lorraine,Toulouse,,31000,France,61.77.61.10,61.77.61.11
HVJS,Laughing Bacchus Wine Cellars,Hinostroza Villafuerte,Jamil Sahid,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293
HJD,Lazy K Kountry Store,Huatuco Janampa,David,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221
HAGI,Lehmanns Marktstand,Huaytalla Aquino,Germán Iván,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
HTJE,Let's Stop N Shop,Huerta Trujillo,Jacqueline Estefani,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,
HQÁS,LILA-Supermercado,Huillca Quispe,Ángel Santiago,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
IPBM,LINO-Delicateses,Iriarte Peralta,Brayan Melvin,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93
LJJ,Lonesome Pine Restaurant,Leandro Jaco,Jesus,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646
LVDS,Magazzini Alimentari Riuniti,Lezama Villanueva,Dana Sulay,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231
LSSF,Maison Dewey,Luciano Semino,Sandra Fiorella,Sales Agent,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68
LM,Mère Paillarde,LUNA MARTINEZ GRETA,,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055
MTRE,Morgenstern Gesundkost,MALLMA TRUJILLO,RONNY ELMER,Marketing Assistant,Heerstr. 22,Leipzig,,4179,Germany,0342-023176,
MCCD,North/South,Mamani Chambi,Claudia Dayse,Sales Associate,South House 300 Queensbridge,London,,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530
MRLF,Océano Atlántico Ltda.,Mantilla Romero,Luis Fernando,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535
MBSB,Old World Delicatessen,Marchena Barrientos,Sabrina Belen,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880
MSCI,Ottilies Käseladen,Marí Salcedo,Cristina Isabel,Owner,Mehrheimerstr. 369,Köln,,50739,Germany,0221-0644327,0221-0765721
MCLA,Paris spécialités,Mayta Chipana,Luis Angel,Owner,265 boulevard Charonne,Paris,,75012,France,(1) 42.34.22.66,(1) 42.34.22.77
MNJO,Pericles Comidas clásicas,Mendoza Narro,Jaime Orlando,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,,5033,Mexico,(5) 552-3745,(5) 545-3745
MCMS,Piccolo und mehr,Morante Calderón,Marieta Solange,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723
NCSA,Princesa Isabel Vinhos,Nuñez Cueva,Stefano Andre,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,
OHBL,Que Delícia,Omontes Huaranca,Bryan Luis,Accounting Manager,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545
OCMA,Queen Cozinha,Otoya Chaname,Miguel Antonio,Marketing Assistant,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,
pqf,QUICK-Stop,pacori quispe,fredy,Accounting Manager,Taucherstraße 10,Cunewalde,,1307,Germany,0372-035188,
QCLA,Rancho grande,Quispe Casahuaman,Luis Arturo,Sales Representative,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556
QGAL,Rattlesnake Canyon Grocery,Quispe Gonzales,Arely Liliana,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620
QMM,Reggiani Caseifici,Quispe Mueras,Miguel,Sales Associate,Strada Provinciale 124,Reggio Emilia,,42100,Italy,0522-556721,0522-556722
QRMA,Ricardo Adocicados,Quispe Roman,Mayra Alejandra,Assistant Sales Agent,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,
RDGJ,Richter Supermarkt,Ramirez Duque,Giancarlo Javier,Sales Manager,Grenzacherweg 237,Genève,,1203,Switzerland,0897-034214,
ROAF,Romero y tomillo,Ramirez Ordaya,Alicia Francesca,Accounting Manager,Gran Vía 1,Madrid,,28001,Spain,(91) 745 6200,(91) 745 6210
RRJM,Santé Gourmet,Ramirez Ramirez,Jennifer Milagros,Owner,Erling Skakkes gate 78,Stavern,,4110,Norway,07-98 92 35,07-98 92 47
RRDM,Save-a-lot Markets,Ramirez Ramirez,Dayra Maritzell,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,
RSEB,Seven Seas Imports,Ramos Saravia,Erick Bruno,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646
RIMA,Simons bistro,Raymundo Izquierdo,Marco Alexander,Owner,Vinbæltet 34,Kobenhavn,,1734,Denmark,31 12 34 56,31 13 35 57
RPJ,Spécialités du monde,Regalado Peña,Judy,Marketing Manager,25 rue Lauriston,Paris,,75016,France,(1) 47.55.60.10,(1) 47.55.60.20
RSJP,Split Rail Beer & Ale,Roca Salinas,Jesus Piero,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525
RCMS,Suprêmes délices,Rodriguez Chavez,Melissa Stephania,Accounting Manager,Boulevard Tirou 255,Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21
RGPA,The Big Cheese,Rodriguez Garcia,Piero Alonso,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,
RCDM,The Cracker Box,Rubio Carazas,Dayra Maritzell,Marketing Assistant,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083
RLEI,Toms Spezialitäten,Ruiz Lavado,Erick Ivan,Marketing Manager,Luisenstr. 48,Münster,,44087,Germany,0251-031259,0251-035695
RVKA,Tortuga Restaurante,Ruiz Vera,Kevin Adrian,Owner,Avda. Azteca 123,México D.F.,,5033,Mexico,(5) 555-2933,
SaJC,Tradição Hipermercados,Sánchez alvarez,José Carlos,Sales Representative,Av. Inês de Castro 414,Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168
SFFA,Trail's Head Gourmet Provisioners,Sánchez Flores,Fernando Andrés,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174
SVRV,Vaffeljernet,Sedano Ventocilla,Raquel Victoria,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44
SHSN,Victuailles en stock,Simon Huanca,Susan Nayeli,Sales Agent,2 rue du Commerce,Lyon,,69004,France,78.32.54.86,78.32.54.87
SC,Vins et alcools Chevalier,Soto Condezo,,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11
SBY,Die Wandernde Kuh,Suclupe Benites,Yoana,Sales Representative,Adenauerallee 900,Stuttgart,,70563,Germany,0711-020361,0711-035428
TELM,Wartian Herkku,Tenorio Enciso,Lisbeth Milagros,Accounting Manager,Torikatu 38,Oulu,,90110,Finland,981-443655,981-443655
TEMÁ,Wellington Importadora,Tenorio Enciso,Miguel Ángel,Sales Manager,Rua do Mercado 12,Resende,SP,08737-363,Brazil,(14) 555-8122,
TLDW,White Clover Markets,Tonconi Laura,Daniel William,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115
TTGJ,Wilman Kala,Toribio Torres,Gabriel Jesus,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,,21240,Finland,90-224 8858,90-224 8858
TMRA,Wolski  Zajazd,Torres Maures,Rodrigo Alonzo,Owner,ul. Filtrowa 68,Warszawa,,01-012,Poland,(26) 642-7012,(26) 642-7012
TMLA,Tradição Hipermercados,Trujillo Mendoza,Luis Angel,Assistant Sales Representative,2817 Milton Dr.,Reims,,51100,France,26.47.15.10,26.47.15.11
VM,Trail's Head Gourmet Provisioners,VALENCIA MONGE,,Sales Associate,Strada Provinciale 124,Stuttgart,,70563,Germany,0711-020361,0711-035428
VRVM,Vaffeljernet,Valencia Romero,Victor Manuel,Assistant Sales Agent,Av. Copacabana 267,Oulu,,90110,Finland,981-443655,981-443655
VRLV,Victuailles en stock,Vargas Reyes,Lizbeth Vanessa,Sales Manager,Grenzacherweg 237,Resende,SP,08737-364,Brazil,(14) 555-8123,
VBEE,Vins et alcools Chevalier,Velazco Bautista,Edison Enrique,Accounting Manager,Gran Vía 1,Seattle,WA,55648,USA,(206) 555-4112,(206) 555-4115
VVY,Die Wandernde Kuh,Vigilio Villogas,Yermer,Owner,Erling Skakkes gate 78,Helsinki,,132536,Finland,90-224 8858,90-224 8858
VCVL,Wartian Herkku,Vilchez Campos,Viviana Lizeth,Sales Representative,187 Suffolk Ln.,Warszawa,,01-013,Poland,(26) 642-7012,(26) 642-7012
VVAM,Wellington Importadora,Villafan Virhuez,Adrian Marcel,Sales Manager,90 Wadhurst Rd.,Reims,,51100,France,26.47.15.10,26.47.15.11
VHAJ,White Clover Markets,Villalobos Hinostroza,Angel Josue,Owner,Vinbæltet 34,Stuttgart,,70563,Germany,0711-020361,0711-035428
YAC,Wilman Kala,Ynza Alfaro,Christian,Assistant Sales Representative,2817 Milton Dr.,Oulu,,90110,Finland,981-443655,981-443655
YGLD,Wolski  Zajazd,Yupanqui Galvez,Litzy Duanet,Sales Associate,Strada Provinciale 124,Resende,SP,08737-365,Brazil,(14) 555-8124,
ZSMZ,Wolski  Zajazd,Zamora Silva,Miguel Zamora,Assistant Sales Agent,Av. Copacabana 267,Seattle,WA,209424,USA,(206) 555-4112,(206) 555-4115
ZCED,Tradição Hipermercados,Zárate Cancho,Edward Daniel,Sales Manager,Grenzacherweg 237,Helsinki,,286312,Finland,90-224 8858,90-224 8858
FBGS,Trail's Head Gourmet Provisioners,Flores Barraza,Gabriela Salomé,Accounting Manager,Gran Vía 1,Warszawa,,01-014,Poland,(26) 642-7012,(26) 642-7012
DM,Vaffeljernet,,Dayra Maritzell,Owner,Erling Skakkes gate 78,Reims,,51100,France,26.47.15.10,26.47.15.11
AR,Victuailles en stock,,Anders Rudolf,Sales Representative,187 Suffolk Ln.,Stuttgart,,70563,Germany,0711-020361,0711-035428
PSPN,Vins et alcools Chevalier,Perez Salazar,Piero Nicanol,Sales Manager,90 Wadhurst Rd.,Oulu,,90110,Finland,981-443655,981-443655
AP,Die Wandernde Kuh,Huaman Llanos,Ana Paula,Owner,Vinbæltet 34,Resende,SP,08737-366,Brazil,(14) 555-8125,
HLS,Wartian Herkku,Lozano Perez,Sandro,Assistant Sales Representative,2817 Milton Dr.,Seattle,WA,363200,USA,(206) 555-4112,(206) 555-4115
LPPE,Wellington Importadora,Guadalupe pelaez,Patrikc Equer,Sales Associate,Strada Provinciale 124,Helsinki,,440088,Finland,90-224 8858,90-224 8858
GpP,White Clover Markets,Melgarejo Gomez,Pamela,Assistant Sales Agent,Av. Copacabana 267,Warszawa,,01-015,Poland,(26) 642-7012,(26) 642-7012
MGY,Wilman Kala,Carhuajulca Becerra,Yuder,Sales Manager,Grenzacherweg 237,Reims,,51100,France,26.47.15.10,26.47.15.11
CBQE,Wolski  Zajazd,Machao Tello,Queen Elizabeth,Accounting Manager,Gran Vía 1,Stuttgart,,70563,Germany,0711-020361,0711-035428
MTJA,Wolski  Zajazd,Cordova Mendoza,Jazmin Aracelly,Owner,Erling Skakkes gate 78,Oulu,,90110,Finland,981-443655,981-443655
CMAA,Tradição Hipermercados,Vasquez Alberca,Andres Aldair,Sales Representative,187 Suffolk Ln.,Resende,SP,08737-367,Brazil,(14) 555-8126,
VAY,Trail's Head Gourmet Provisioners,Siccos Ttito,Yuly,Sales Manager,90 Wadhurst Rd.,Seattle,WA,516976,USA,(206) 555-4112,(206) 555-4115
STRE,Vaffeljernet,Risco Ordoñez,Raquel Elisabeth,Owner,Vinbæltet 34,Helsinki,,593864,Finland,90-224 8858,90-224 8858
ROLA,Victuailles en stock,Pezo Hualpa,Luis Alonso,Assistant Sales Representative,2817 Milton Dr.,Warszawa,,01-016,Poland,(26) 642-7012,(26) 642-7012
ÑSR,Die Wandernde Kuh,Ñahuin Sullcaray,Erick David,Sales Associate,Strada Provinciale 124,Reims,,51100,France,26.47.15.10,26.47.15.11
TRJE,Wartian Herkku,Tapia Rivas,Rolando,Assistant Sales Agent,Av. Copacabana 267,Stuttgart,,70563,Germany,0711-020361,0711-035428
MCCS,Wellington Importadora,Merino Cotillo,Joseph Esteven,Sales Manager,Grenzacherweg 237,Oulu,,90110,Finland,981-443655,981-443655
CSGR,White Clover Markets,Chahuaya Sabino,Carlos Suker,Accounting Manager,Gran Vía 1,Resende,SP,08737-368,Brazil,(14) 555-8127,
LMMA,Wilman Kala,LUNA MARTINEZ,GRETA RAQUEL,Owner,Erling Skakkes gate 78,Seattle,WA,670752,USA,(206) 555-4112,(206) 555-4115
AMDJ,Wolski  Zajazd,Arimana Millones,Miguel Angel,Sales Representative,187 Suffolk Ln.,Helsinki,,747640,Finland,90-224 8858,90-224 8858
RSDG,Wolski  Zajazd,Rojas Santa Cruz,Diego Joel,Sales Manager,90 Wadhurst Rd.,Warszawa,,01-017,Poland,(26) 642-7012,(26) 642-7012
AGSM,Wolski  Zajazd,Ayala Gutierrez,Darwin Gabriel,Owner,Vinbæltet 34,Reims,,51100,France,26.47.15.10,26.47.15.11
BVa,Wolski  Zajazd,Balvin Velasquez,Sara Marilyn,Owner,,Stuttgart,,70563,Germany,0711-020361,0711-035428
aoS,Tradição Hipermercados,alvarez ochoa,aldo,Assistant Sales Representative,2817 Milton Dr.,Oulu,,90110,Finland,981-443655,981-443655
ORMC,Trail's Head Gourmet Provisioners,Ortiz Rojas,Senayda,Sales Associate,Strada Provinciale 124,Resende,SP,08737-369,Brazil,(14) 555-8128,
MASR,Vaffeljernet,Morales Andrade,Maricielo Celeste,Assistant Sales Agent,Av. Copacabana 267,Seattle,WA,824528,USA,(206) 555-4112,(206) 555-4115
SBKA,Victuailles en stock,Sarmiento Bravo,Sebastian Rancell,Sales Manager,Grenzacherweg 237,Helsinki,,901416,Finland,90-224 8858,90-224 8858
CSBI,Vins et alcools Chevalier,Chung Sanchez,Kenji Alberto,Accounting Manager,Gran Vía 1,Warszawa,,01-018,Poland,(26) 642-7012,(26) 642-7012
BPVA,Die Wandernde Kuh,Barrueta Perez,Brayan Ivanobish,Owner,Erling Skakkes gate 78,Reims,,51100,France,26.47.15.10,26.47.15.11
SPLF,Wartian Herkku,Silva Pacheco,Victor Andres,Sales Representative,187 Suffolk Ln.,Stuttgart,,70563,Germany,0711-020361,0711-035428
SCAB,Wellington Importadora,Sánchez Carreño,Luis Felipe,Sales Manager,90 Wadhurst Rd.,Oulu,,90110,Finland,981-443655,981-443655
MOaE,White Clover Markets,Montes Ore,Angie Bertha,Accounting Manager,Gran Vía 1,Resende,SP,08737-370,Brazil,(14) 555-8129,
gNJS,Wilman Kala,guerra Neciosup,angel Eduardo,Owner,Erling Skakkes gate 78,Seattle,WA,978304,USA,(206) 555-4112,(206) 555-4115
GT,Wolski  Zajazd,Gonzales Távara,Jordan Sthephano,Sales Representative,187 Suffolk Ln.,Helsinki,,1055192,Finland,90-224 8858,90-224 8858
